id,name,startDate,endDate,odi,t20,test,squads,matches
d854d3d2-9260-455e-a0e6-21e3906e83f8,"England tour of Ireland, 2025",2025-09-17,Sep 21,3,0,0,0,3
f5dee348-f6f6-4d0d-b4f1-b78bbea2aca1,"South Africa tour of England, 2025",2025-09-02,Sep 14,3,3,0,0,6
40100bbd-49c9-40e5-87d5-92866692b620,"India Women tour of England, 2025",2025-06-28,Jul 22,3,5,0,0,8
8f227d30-17ca-4b64-9896-90fb2521f78f,"India tour of England, 2025",2025-06-20,Aug 04,0,0,5,0,5
f9e434f8-9aed-406b-88dd-15578c8a8427,"West Indies tour of England, 2025",2025-05-29,Jun 10,3,3,0,0,6
94111d98-0f1f-470f-88b6-e55e737d7be3,"West Indies Women tour of England, 2025",2025-05-21,Jun 06,3,3,0,0,6
e8ec36bd-ea3b-4bc6-b3de-890383e5be6e,"Australia Women tour of New Zealand, 2025",2025-03-21,Mar 26,0,3,0,0,3
8465598f-a097-4a0b-9c56-806c84ca7cce,"Pakistan tour of New Zealand, 2025",2025-03-16,Apr 25,3,5,0,0,8
40b93362-48f6-444d-b8b9-6cb583b9788d,"Sri Lanka Women tour of New Zealand, 2025",2025-03-04,Mar 18,3,3,0,0,6
03532633-c83b-401a-aecb-99da710ae4fd,CSA Provincial One-Day Challenge Division Two 2025,2025-02-15,Mar 14,29,0,0,0,29
c459a046-6e27-4499-8ee8-1915f783cf38,CSA Provincial One-Day Challenge Division One 2025,2025-02-15,Mar 16,30,0,0,0,30
73d8a60c-dfa2-4814-a80a-378c92422b5a,"Pakistan ODI Tri-Series, 2025",2025-02-08,Feb 14,4,0,0,0,4
bf12ec10-a6e7-43b1-8cf6-6e2fcb4321f9,"England tour of India, 2025",2025-01-22,Feb 12,3,5,0,0,8
94189858-8624-4e55-9904-1cbdb6c049cf,ICC Under 19 Womens T20 World Cup 2025,2025-01-18,Feb 02,0,41,0,0,41
0b624d70-0c55-40f1-89e9-f6086aa40813,"West Indies tour of Pakistan, 2025",2025-01-16,Jan 28,0,0,2,0,2
c44fe6b1-9124-4c3b-b7a0-82acc9d98303,"Womens Ashes, 2025",2025-01-12,Jan 30,3,3,1,0,7
