series_id,series_name,matches,match_id,match_name,match_type,team1,team2,win_team,win_how,venue,date
b0e5bc9a-d3af-4b88-a253-e64f4239ca58,"Bangladesh tour of Pakistan, 2024",2,f0148c2a-9d38-406f-a536-5f664e2ab2ff,"Pakistan vs Bangladesh, 1st Test",test,Pakistan,Bangladesh,Bangladesh,"10 wickets","Rawalpindi Cricket Stadium, Rawalpindi",2024-08-21
b0e5bc9a-d3af-4b88-a253-e64f4239ca58,"Bangladesh tour of Pakistan, 2024",2,cc4b5b48-6801-4dc9-a9fe-0fbecdc83246,"Pakistan vs Bangladesh, 2nd Test",test,Pakistan,Bangladesh,Bangladesh,"6 wickets","Rawalpindi Cricket Stadium, Rawalpindi",2024-08-30
85cc5960-17cf-423c-8b1c-24c12525b1ef,"Pakistan tour of England, 2024",4,a9bfee94-85f4-4263-b61b-88fea2c62343,"England vs Pakistan, 1st T20I",t20,England,Pakistan,NULL,NULL,"Headingley, Leeds",2024-05-22
85cc5960-17cf-423c-8b1c-24c12525b1ef,"Pakistan tour of England, 2024",4,73491cdd-77cb-417a-83a4-96255adbc83f,"England vs Pakistan, 2nd T20I",t20,England,Pakistan,England,"23 runs","Edgbaston, Birmingham",2024-05-25
85cc5960-17cf-423c-8b1c-24c12525b1ef,"Pakistan tour of England, 2024",4,3e41bc59-5e38-440d-b66d-829aed205d01,"England vs Pakistan, 3rd T20I",t20,England,Pakistan,NULL,NULL,"Sophia Gardens, Cardiff",2024-05-28
85cc5960-17cf-423c-8b1c-24c12525b1ef,"Pakistan tour of England, 2024",4,9548c519-1086-47f2-92e2-673812bc45d0,"England vs Pakistan, 4th T20I",t20,England,Pakistan,England,"7 wickets","Kennington Oval, London",2024-05-30
b0b3a2f7-5d9b-4fb8-ac73-915d75e51891,"Bangladesh tour of USA, 2024",3,40f4f31e-e93c-4a27-b168-750d582cb6b5,"United States vs Bangladesh, 1st T20I",t20,"United States",Bangladesh,"United States","5 wickets","Prairie View Cricket Complex, Houston",2024-05-21
b0b3a2f7-5d9b-4fb8-ac73-915d75e51891,"Bangladesh tour of USA, 2024",3,66ec6143-ba48-41f5-828d-51c576e89579,"United States vs Bangladesh, 2nd T20I",t20,"United States",Bangladesh,"United States","6 runs","Prairie View Cricket Complex, Houston",2024-05-23
b0b3a2f7-5d9b-4fb8-ac73-915d75e51891,"Bangladesh tour of USA, 2024",3,4fb65b4c-3481-4a5b-af3f-60ea374d2830,"United States vs Bangladesh, 3rd T20I",t20,"United States",Bangladesh,Bangladesh,"10 wickets","Prairie View Cricket Complex, Houston",2024-05-25
a9c431f5-60ef-426e-8cea-d06d8483efee,"Pakistan tour of Ireland, 2024",3,1fa030cb-57a6-45f2-9725-5be788e7746d,"Ireland vs Pakistan, 1st T20I",t20,Ireland,Pakistan,Ireland,"5 wickets","Clontarf Cricket Club Ground, Dublin",2024-05-10
